country,stable,stable_per2000,stable_per2020,increase increase,increase increase percent,increase decrease,increase decrease percent,decrease increase,decrease increase percent,decrease decrease,decrease decrease percent,total increase per,total increase,total decrease per,total decrease,forest edge 2000,forest edge 2020
Zimbabwe,1474642.728,0.796920558,0.933202419,64259.4392,0.040665487,41293.8316,0.026132095,73711.7455,0.039835008,302071.7865,0.163244433,0.066797581,105553.2708,0.203079442,375783.532,1850426.26,1580195.999
Pakistan,370728.8628,0.828964015,0.784835539,90432.6215,0.191446478,11203.5455,0.023717982,51034.6158,0.114115366,25456.0098,0.056920618,0.215164461,101636.167,0.171035985,76490.6256,447219.4884,472365.0298
Bulgaria,321150.723,0.812640596,0.87107554,29341.667,0.079585088,18190.5865,0.049339372,60691.0728,0.153572843,13352.2476,0.033786561,0.12892446,47532.2535,0.187359404,74043.3204,395194.0434,368682.9765
Thailand,1365679.612,0.597302377,0.638161234,363778.0231,0.169987917,410565.1971,0.191850849,527387.696,0.230661658,393345.1784,0.172035965,0.361838766,774343.2202,0.402697623,920732.8744,2286412.486,2140022.832
San Marino,445.4896,0.966770529,0.952581503,19.2943,0.041256616,2.8817,0.006161881,9.0836,0.019712597,6.2286,0.013516874,0.047418497,22.176,0.033229471,15.3122,460.8018,467.6656
Haiti,208911.2976,0.920659125,0.935875857,9168.4927,0.041072795,5145.6471,0.023051347,6628.5605,0.029211655,11375.0682,0.05012922,0.064124143,14314.1398,0.079340875,18003.6287,226914.9263,223225.4374
Dominican Republic,226818.3183,0.757093677,0.821403316,18955.384,0.068645317,30361.4362,0.109951368,26989.6266,0.090088295,45782.8787,0.152818027,0.178596684,49316.8202,0.242906323,72772.5053,299590.8236,276135.1385
Chad,1266558.039,0.736607788,0.889831906,67392.0178,0.047346877,89417.6943,0.062821217,103735.815,0.060330918,349153.1284,0.203061294,0.110168094,156809.7121,0.263392212,452888.9434,1719446.983,1423367.751
Kuwait,8.6583,0.601429544,0.171330705,41.8773,0.828669295,0,0,5.7379,0.398570456,0,0,0.828669295,41.8773,0.398570456,5.7379,14.3962,50.5356
El Salvador,127426.5749,0.855328314,0.890951144,5605.4518,0.039192639,9991.0512,0.069856217,8535.5081,0.057293086,13017.6396,0.0873786,0.109048856,15596.503,0.144671686,21553.1477,148979.7226,143023.0779
Guatemala,325897.9288,0.576574685,0.638673889,54831.1016,0.107454481,129543.793,0.253871629,114691.8713,0.202911475,124641.2743,0.220513839,0.361326111,184374.8946,0.423425315,239333.1456,565231.0744,510272.8234
East Timor,76601.1769,0.875973738,0.916847001,2179.8915,0.026091335,4767.4155,0.057061664,6142.5343,0.07024303,4703.1763,0.053783233,0.083152999,6947.307,0.124026262,10845.7106,87446.8875,83548.4839
